Japanese text;English text
はつ、俺は今何をしていたんだ。』;"Hatsu, what was I doing just now?"""
５月１２日;May 12
テニス部;tennis club
ＬＡ;L.A.
???? ?;???? ?
カラオケ屋で、待ち合わせ』;"Meet me at the karaoke bar."""
カラオケ屋で、;At a karaoke bar,
ここは渋く演歌なんてどう？』;How about a little enka?
なんでもいいよ。』;"Anything."""
この、ｐｒｆの新曲は？』;"What about this, prf's new song?"""
実験ショー;experimental show
ポップスのＣＤ』;"Pops CDs"""
携帯テレビ電話』;Mobile TV Phone
それなりの苦労はあるよ。』;"It's a lot of work."""
そんな事はないよ。』;"That's not true."""
朝日奈さん何か考えてるの？』;"What do you have in mind, Asahina-san?"""
毛糸のパンツ』;"Woolly Pants."""
裁縫セット』;"Sewing Set"""
プラチナのクロス』;"Platinum Crosses"""
バーチャルシップに乗ろう。』;"Let's go on a virtual ship."""
バーチャルシップ;virtual ship
?ー?ャ??ッ?;? ? ? ?
いん石が来た時、びびつちゃつたよ。;I was scared when the stone came.
所詮は子供だましだね。』;"It's just a child's play, after all."""
すごかつたね。』;"That was amazing."""
??‐??;? -?
俺が教えてあげるよ。』;"I'll teach you."""
―緒に練習しようよ。』;-Let's practice together.
氷の上なんて、ずるいよね。』;"It's not fair on the ice."""
この絵の人、詩織に似てない？』;"Doesn't the person in this picture look like Shiori?"""
プラネタリウムで、待ち合わせ』;"Meeting at the Planetarium""."
屋上;rooftop
ここつて、幽霊でも出てきそうだね。;This place looks like it could be haunted.
それじゃ、ベンチで休んでいこう。』;"Let's take a rest on the bench."""
あつ、あそこに鯉がいるぞ。』;"Oh, there's a carp over there."""
就職試験を受けに行く;Going to take a job test
やめて、大学入試に行く;Stop and go to the college entrance exam.
―流企業の試験を受ける;-Take the exam of a leading company
二流企業の試験を受ける;Take the exam of a second-rate company.
三流企業の試験を受ける;Take the exam of a third-rate company.
?い;? the first star to appear in the evening
?????????????;?????????????
清川望;Nozomu Kiyokawa
?野;? wild
１２月 ３日;Dec. 3
８２．５８．８３;82.58.83
スポーツ万能、水泳は国体レベル;All-around sportsman, swimming at national level
優柔不断な男は嫌い;I hate indecisive men.
?川望;? river watching
?集院レイ;? Shu-in Rei
取り?し;collecting? death (of someone who is unable to live up to their reputation)
似顔絵;portrait
どれも、清川さんに似合うよ。』;"They all look good on you, Kiyokawa-san."""
どれも、似合わないんじゃない？』;"None of them, don't they look good on you?"""
清川さん、意外と可愛いね。』;"Kiyokawa, you are surprisingly cute."""
花束』;Bouquet of Flowers
リストバンド』;"Wristband"""
こん棒』;"""The Stick"""
清川さん、可愛いから似合うよ。』;"Kiyokawa-san, you're so cute, you'd look great."""
きつと、女の子つぽく見えるぜ。』;You look tight and girly.
清川さんはジャージが―番。』;"Kiyokawa's jersey is - number one."""
本当、可愛いよね。』;"It's really cute."""
目が怖かつたよ。』;"Your eyes were scary."""
８３．５８．８３;83.58.83
身体を動かすことが大好き;Loves to be physically active
ロックをよく聴く、軟弱者は嫌い;Listen to rock a lot, don't like soft people.
フ?ィッ?;F? F?
持つてあげるよ。』;"I'll hold it for you."""
やつぱり、女の子なんだよな。』;I'm a girl, after all.
ホント、たくさん買つたね。』;You really bought a lot.
演劇部;drama club
如月さんて、臆病なんだね。』;Kisaragi is a coward, isn't she?
?ャン??;? ?
サイバーな感じでかつこいいよ。』;"It's cyber and cool."""
そうだね、もう帰ろうか？』;"Right, shall we go home now?"""
大丈夫だよ。危なくないから。』;It's okay. It's not dangerous.
１月１３日;<DATE>
山羊座;Capricorn
８２．５９．８３;82.59.83
野球部;baseball club (i.e. baseball team)
アクション映画、ロックが好み;Prefer action movies and rock music
趣味は料理、誰にでも優しい;Hobby is cooking, friendly to everyone.
おかしいんじゃない？』;"Isn't that crazy?"""
血が騒ぐんだよね。』;"It makes my blood boil."""
清川さん、格闘技好きなんだ。』;Kiyokawa, you like martial arts.
北海道;Hokkaido (northernmost of the four main islands of Japan)
時計台前;In front of clock tower
クラーク像前;In front of Clark statue
?? ???;?? ??????
清川さんには絶対取れないね。』;"Kiyokawa will never get it."""
清川さんなら取れるつて。』;Kiyokawa will get it.
ゲームセンターにメダルコーナ‐?;A medal corner in a game center?
Ｋ?;K?
ゲームセンターにメダルコーナ;Medal corner in game center
?‐．???‐;? -??????? -?
ゲームセンタ‐?????‐?;Game Center-????? -?
このカラフルなやつはどう？』;"How about this colorful one?"""
ホイッスルを首にかけたら？』;"Why don't you put a whistle around your neck?"""
銀のロザリオなんてどう？』;"How about a silver rosary?"""
演奏会;concert
?  ???;?  ?????
女の子にわりと人気あるよ。』;It's rather popular with the girls.
それじゃ、帰つたほうがいいね。』;Then I'd better go home.
お金を賭けてるわけじゃないよ。』;"I'm not betting money on it."""
水族館で、待ち合わせ』;Meet me at the aquarium.
水族館で、;At the aquarium,
競泳用ゴーグル』;"Swimming goggles"""
軍手』;"Military hands"""
リボン』;Ribbon
ショッピング街で、;In the shopping district,
７月 ７日;July 7
８４．５９．８４;84.59.84
科学部;science club
頭はきれるが、運動は駄目;I'm smart, but not athletic.
破壊的なものが好きらしい;They like destructive things.
??ー?リン?;? ? Lin?
スケートなら俺に任せてくれ。』;"I'll take care of the skating."""
とりあえずつてとこかな。』;I guess I'll leave it at that.
氷の上はちょつと卑怯だよね⋯。』;"It's a little bit unfair on the ice..."""
ストッキング』;"Stockings"""
拒人の星全集』;"The Complete Works of The Refuser's Star"""
台所掃除セット』;"Kitchen Cleaning Set"""
???希;????? rare
９２．６１．８９;92.61.89
高価なものを好む;Prefer expensive items
美的ものにしか興味を持たない;Only interested in aesthetic things.
カラオケ屋;karaoke club (bar)
???‘???;????? '??????
優美ちゃんて、臆病なんだね。』;Yumi is a coward, isn't she?
美?;Beauty?
美?原愛;Beauty? Hara Ai
早?女優美;Early? Actresses and Beauties
?樹原;? arboretum
これレプリカなのに？』;"Even though this is a replica?"""
ＰＬ;PL
ＰＬＡ;You
実際にプレイするほうかな。』;"I guess I'm the one who actually plays."""
野球嫌いなんだよ。』;"I hate baseball."""
全然面白くない。』;"It's not funny at all."""
俺はわりと好きだな⋯。』;"I rather like it..."""
優美ちゃんはどうなの？』;"What about Yumi?"""
???????。;???????.
．;...
?＂。;"? ""."
８３．５９．８４;83.59.84
男つぽいことを気にしてる;He's concerned about being manly.
恋愛物の映画が好み;I prefer romantic movies.
近所の公園で、待ち合わせ』;"Meet me at a nearby park."""
遊園地で、;At the amusement park,
虹野さんを待つか。）;(Wait for Nijino?).
根性が足りないんじゃない。』;"It's not a lack of guts."""
大丈夫、顔が青いよ。』;"Don't worry, you're blue in the face."""
無理には誘わないからね。』;I won't force you.
８５．５９．８６;85.59.86
きらめき高校の￦￦￦科学者;Kirameki High School ￦￦Scientist
頭脳のためにクラシックを聴く;Listen to classical music for brains
?考;? thought
白衣』;"White Coat"""
ドラムカン』;"Drum Can"""
Ｒ２００００チップ』;"R20000 chip"""
?? ??;?? ??
無人島;unpopulated island
きざで、嫌味で、冷徹で嫌な奴;A crude, sarcastic, cold-hearted prick.
全男子生徒の敵、でも、金持ち;Enemy of all boys, but rich.
ショ??ング街;Sho? shopping street
清川さんなら、きつとできるよ。』;Kiyokawa-san can do it.
水泳なんてやめたら？』;"Why don't you stop swimming?"""
今だつて、十分じゃないか。』;"Now, that's enough."""
８２．６０．８４;82.60.84
何事にも頑張る人が好きらしい;They like people who work hard at everything.
誰からも慕われている;Adored by all.
ア?セサリーを集めてるらしい;A? I heard he collects sessaries.
公?に行くのが好きなようだ;Public? He likes to go to the
きらめき中央公園だつたかな。』;"Kirameki Central Park, I think."""
そうだね。気持ちよさそうだね。』;"I know. It looks nice."""
スポ根ドラマみたいだね。』;"It's like a sports drama."""
そんな根性無いよ。』;I don't have the guts.
美術館で、待ち合わせ』;"At the museum, meeting up""."
??望;? full moon
こういう絵、嫌いなんだね⋯。』;"You don't like these pictures..."""
この芸術がわからないの？』;"Don't you understand this art?"""
そ、そうだよね。ごめんね。』;Yes, that's right. Sorry.
スカート』;"Skirts"""
メリケンサック』;"Merikensack"""
スポーツシューズ』;"Sports Shoes"""
虹野さんには絶対無理だね。』;"You'll never make it, Nijino."""
フォームを直すといいかな。』;"I think I'll fix my form."""
頑張れば、きつと取れるよ。』;"If you work hard, you can get it tight."""
? 消し;? eraser
?術館;? museum of arts
?‐??‐??;? -??? -???
美術館だつたかな。』;"Was it a museum?"""
今度、―緒に走ろうか？』;"Maybe we can run together sometime?"""
走るのは疲れるよ。』;"Running is exhausting."""
練習あるのみだよ。』;"You just have to practice."""
才能が豊かな人なんだよ。』;"He's a man of abundant talent."""
ハンドクリーム』;Hand Cream
お料理の鉄人ビデオ全４巻』;"Iron Chef Video, 4 volumes""."
虹野さんの１／８フィギュア』;"Nijino-san's 1/8 figure""."
不良達;gangsters
御;august
義;righteousness
防御;protection
奥義;mysteries
攻撃;attack
俺達の拳とは語れねぇぜ！;You can't talk to our fists, man!
不良Ｂの攻撃;Bad B attack
不良パンチ;wild punch
ＰＬ???????‐?????;PL??????? -?????
ポコポコ乱れ撃ち;random pounding (e.g. on a drum)
不良Ａの攻撃;Defective A attack
不良「そんな攻撃では、;"The bad ""In such an attack,"
不良Ｃの攻撃;Bad C attack
ＰＬＡは８８のダメージを受けた;PLA took 88 damage.
ＰＬＡの攻撃;PLA Attacks
ＰＬＡは４０５のダメージを与えた;PLA did 405 damage.
ＰＬＡの体力が５％回復した;PLA's strength recovered by 5%.
ＰＬＡは３４３のダメージを与えた;PLA did 343 damage.
ＰＬＡは９５のダメージを受けた;<PSURNAME> took 95 damage.
<PSURNAME>は<DAMAGE>を与えた;<PSURNAME> gave <DAMAGE>.
<PSURNAME>;<PSURNAME>
<PSURNAME>は<DAMAGE>を受けた;<PSURNAME> received <DAMAGE>.
ハーメルンのホラ吹き;Hamelin's fool
不良「くつ！ なかなかやるなつ！;"The delinquent said, ""Kutsu! Not bad, but not bad at all!"
しかたねぇ、番長様に御報告だ！;I have no choice but to report this to the watchdog!
戦闘に勝つた！！;Winning the battle!
経験値 ：２３６０ＥＸＰ;Experience : 2360EXP
お金  ：３６００ゴールド;Money : 3600 Gold
おたから：ミスリル学ラン;Otakara: Mithril School Run
？？「ちょつと待てぇーい！;What? Wait a minute!
<PSURNAME>「誰だつ！;"<PSURNAME> ""Who are you?"
番長;leader of a group of juvenile delinquents
番長「俺様は、この世界の番長だ！;"The watchman said, ""I am the watchman of this world!"
子分達が随分と世話になつたようだな。;It seems that your henchmen have taken good care of you.
だが、茶番はここまでだ！;But so much for the farce!
礼をさせてもらうぞ。;Let me thank you.
こ??もくら?ぇー?！;The ko? This is it? Yeah?
超眼力！;Super eyesight!
番長「ふつ、思い知つたか。;"The chief said, ""Huh, you know what I'm talking about."
俺様に逆らう者の末路はこうなるのだ。;This is what happens to those who defy me.
はつはつはつはつはつ．．．;Hatsu Hatsu Hatsu Hatsu Hatsu ...
どこからともなく声が聞こえてきた;Voices came out of nowhere.
天使の声「お願い、立ちあがつて。;"The angel's voice: ""Please, stand up."
あなたには、;For you,
まだやるべきことがあるのよ！;We still have work to do!
そうよ、あなたにならできるわ！;Yes, you can!
新しい力をあげる。;We will give you new power.
彼女を．．．守つてあげて！;Protect her... Protect her!
番長「なにぃぃぃー！？;"The chief ""What the heck!"
<PSURNAME>「もう超眼力は見切つたぜ！;"<PSURNAME>""I've already given up on super eyesight!"
番長！ 負ける訳にはいかない！！;Watchdog! We can't lose!
番長「こわつぱが、;"The watchman said, ""Kowatsupa,"
超眼力を見切つた程度で図に乗りおつて;You're just too proud to see through my super eyesight.
俺様の真の力を見せてくれる。;I'll show you my true power.
ゆくぞーつ！;Yukuyoritsu!
番長「袖竜！;"Watchman: ""Sleeve dragon!"
おたから：炎のＴシャツ;Otara: Flame T-shirt
<PSURNAME>の体力が５％回復した;<PSURNAME>'s strength recovered by 5%.
<PSURNAME>の攻撃;Attack on <PSURNAME>
し???ぇ?????????！;Sh?? Yeah. ?????????!
番長「貴様の力はそんなもんか！;"The watchman said, ""Your power is not like that!"
??????????????????;??????????????????
やめる;Leave
紐?;Himoo
虹?;Rainbow?
こ?でいい？;Is this okay? Is that okay?
い??;What?
８４．５８．８４;84.58.84
電脳部;cyberspace
怪しげな研究をしてるらしい;I hear they're doing some dubious research.
その他、詳しいことは不明;Other details are unknown.
<DATE>に?社で縁日があります;There will be a fair at the <DATE>? There will be a fair at the company
<DATE>に神社で縁日があります;There will be a fair at the shrine on <DATE>
紐緒さんは、嫌いなの？』;"Don't you like string-o?"""
最近は、女の子も多いんだよ。』;"These days, there are a lot of girls out there."""
そ、それじゃ、帰ろうか⋯。』;"Well, let's go home..."""
ムチ』;"Whip"""
第６世代コンピュータ理論の本』;"The Sixth Generation Computer Theory Book."""
??院レイ;? In House Reyes
<PNAME> <PSURNAME>;<PNAME> <PSURNAME>
紐緒さんと乗るぜ。』;"I'll ride with Ms. Stringo."""
紐緒さんと入るぜ。』;"I'm going in with Ms. Stringo."""
電脳部室;Digital Department Room
何を調べるの？』;"What are you going to find out?"""
そんなの後にしようよ。』;Let's talk about it later.
手伝おうか？』;"Do you need any help?"""
女の子のくせにおかしいよ。』;"It's funny for a girl."""
そ、そうだよね。』;Yes, that's right.
この雰囲気がたまらないね。』;"I love the atmosphere."""
この画家は変人で有名だね。』;"This painter is famous for his eccentricities."""
何だろう？よくわかんないよ。』;What is it? I don't know.
両方とも、天才だもんね。』;"Both are geniuses."""
これだけいれば、十分だろうね。』;"That should be enough."""
こんなに飼えるの？』;"Can you keep this many?"""
そんな、可哀想だよ。』;"Oh, no, you poor thing."""
じゃ、静かにしてるよ。』;I'll be quiet.
『?;"""?"""
の??;The?
‐??;-?
に?;in the second place?
?行;? row
。』;"."""
』;'-' (used in place of '-')
これだけいれば、十分だね。』;"That's all I need."""
こんなに奇麗なのに？』;"How could it be so beautiful?"""
???????、;??????? ,,
??‐??????;?? -??????
????．;????.
??Ｉ;? ?I
そう？つまんないよ。』;Is that so? It's boring.
まあまあ⋯、かな。』;Well... I guess.
もつといい所があるんだ。』;"It's a good place to be."""
さすが、考えることが運う。』;"You're right, you've got a lot to think about."""
そんな事、考えるなよ。』;Don't even think about it.
俺にはちょつと難しいね。』;It's a little difficult for me.
マスコット;mascot
ゲ??センター;G? center
パズル関係が面白いと思うよ。』;"I think it's an interesting puzzle relationship."""
クレーンゲームなんてどう？』;"How about a crane game?"""
シューティングだよ。』;"It's a shooter."""
本当、眠かつたよ。』;I was really sleepy.
いい眺めじゃなかつた？』;Isn't it a nice view?
紐緒さんばかり見てたから⋯。』;"I've been looking at only Ms. String-o..."""
コピ?;Copy?
?ア;? assemble
ニュ?;New?
‐ド;-do
‐?;-?
ニ?;Ni?
ニ‐;N-
ニ??;Ni?
ド;1st note in the tonic solfa representation of the diatonic scale
?ド;? do
‐ト;-to
ニュ;nu
コピ;copy
?ュ?;? ?
コピ❘;copy❘
ア;assemble
コ??;Co?
コ?;Co?
? ?;? ?
ニ ?;d ?
クリア人数はそのままで、;The number of cleared people will remain the same,
プロローグからゲームを;The game from the prologue
スタートします。;Start.
何?目?ア???を、;What? An eye? A? I'd like to see the eye,
コピーしますか？;Do you want a copy?
カーソルで選んで下さい。;Use the cursor to select.
?去しま??？;? ?
何番目のアルバムを、;How many albums,
消去しますか？;Do you want to erase it?
クリ??????まま?、;Kuri?????? As it is? s,,
プロローグ?ら?ー??;Prologue? and others? ?
やりなおしますか？;Do you want to start over?
１０番アルバム を、;Album #10,
作成しています。;Creating.
１０番アルバムを;Album #10.
やりなおします。;Redo.
はい⋯⋯  ボタン;Yes: press ◯︎
いいえ⋯  ボタン;No: press X
??――??;? --?
?Ｉ;?I
９番アルバムを;Album #9.
何の研究に使うの？』;"What's it going to be used for?"""
奇麗な花は見て楽しもうよ。』;"Let's enjoy looking at the pretty flowers."""
???‐;????? -?
この絵、素晴らしいと思わない？』;"Isn't this painting marvelous?"""
この絵、紐緒さんに似てない？』;"Doesn't this picture look a lot like Mr. Cordao's?"""
高速ジオメトリ演算理論の本』;"The Book of Fast Geometry Arithmetic Theory"""
精密工具セット』;"Precision tool set""."
チャイナドレス』;"China Dress"""
海にでも入れば？』;"Why don't you go in the ocean?"""
夏だからね。』;"It's summer."""
ジュースでも買つてくるよ。』;I'm going to get some juice.
鏡さんと乗るぜ。』;"I'll ride with Mr. Kagami."""
?ェッ??ー??ー;? ? ? Yes, yes, yes.
?ース?ハ?ス;? Ha? H? H&S?
鏡さんと入るぜ。』;"I'm going in with Mr. Mirror."""
いいから泳ごうよ。』;"Come on, let's go swimming."""
別に、かまわないよ。』;I don't care.
ちょつと泳いでくるよ。』;"I'm going for a little swim."""
?．??;?
ああ、助かるよ。』;Oh, thank you.
いいよ、来なくても。』;"It's okay, you don't have to come."""
鹿．グレート;Deer . Great .
鹿．グレートが襲つてきた！;Deer . A great deer attacked!
暴れん坊頭突き;rampaging head butt
スタンピート;stumpito
<PSURNAME>「だめだ！ 体が動かない！;"<PSURNAME> ""No! I can't move my body!"
？？？「拙僧にまかせなされ。;What? Leave it to me.
<PSURNAME>「？！;"<PSURNAME> ""?"
虚無僧;begging Zen priest of the Fuke sect (wearing a sedge hood and playing a shakuhachi flute)
正義の虚無僧推参！;The righteous falsehoods are guessed!
虚無僧「迷える大鹿よ、;"The monk said, ""O lost moose,"
怒りを静め給え。;Calm my anger.
現世忘却の呪文;Spell of Oblivion in this World
鹿．グレートは去つていつた。;Deer . Great has left.
虚無僧「はしたないところを;"The ""shamelessness of the"
お見せしてしまつた。;I showed it to you.
では、拙僧はこれにて。;Well, I'll leave you now.
ありがとう、正義の虚無僧;Thank you, righteous void.
経験値 ：８４１ＥＸＰ;Experience : 841EXP
お金  ：２０４５ゴールド;Money : 2045 Gold
おたから：鹿の角;Otakara: Deer antlers
おたから：鹿の糞;Okara: Deer droppings
?‘??;? '??
<DATE>;<DATE>
ゲーム;game
天の声;voice from heaven
ＬＡ（それじゃ;LA (then)
‐????;-????
紐緒さんなら取れるつて。』;I'm sure you can get it.
紐緒さんには絶対取れないね。』;"I'll never get it from you, Stringo."""
．????;. ????
それじゃ、専門書を⋯。』;"Then, the technical book..."""
漫画がいいな。』;"I like the cartoon."""
とりあえず、いいよ。』;"For now, okay."""
どうしたらいいかな⋯？』;"What should I do...?"""
優美ちゃんには絶対無理だね。』;"Yumi will never be able to do that."""
何、馬鹿言つてるの？』;What are you talking about?
そ、そうなるといいね。』;I hope so.
はぁ⋯、そうですか。』;Huh... I see.
日か?;Days?
電脳部を退部した。;He left the Denkou Department.
乙女座;Virgo
牡牛座;Taurus
さそり座;Scorpio
射手座;Sagittarius
蟹座;Cancer
魚座;Pisces
山羊座;Capricorn
水瓶座;Aquarius
双子座;Gemini
獅子座;Leo
天秤座;Libra
牡羊座;Aries
趣??音楽鑑賞、特にクラシック;Hobbies? Listening to music, especially classical
如?;like?
８４．５６．８５;84.56.85
クラシックと恋愛物の映画が好み;Prefer classic and romantic movies
??バンドを集めてるらしい;? They're collecting bands.
ヘアバンドを集めてるらしい;I hear he collects hair bands.
ＴＹＰＥ‐Ａ;TYPE-A
ＴＹＰＥ‐Ｂ;TYPE-B
フリー;free
?ステム????;? Stem ????
１：マウスライク;1: Mouse-like
２：パッドＡ;2: Pad A
３：パッドＢ;3: Pad B
４：１＋２;4: 1 + 2
：マウスライク;mouse-like
メニューモード設定;Menu mode setting
❘;❘
少し遅い;A little slow
少し速い;A little fast
常にＯＮ;Always ON
常にＯＦＦ;Always OFF
ｘボタンでカット;Cut with x button
?????度;????? times
川    ?日;River ? day of month
桐;Paulownia tomentosa
?スコッ?;? SCOT?
川    ??;River ?
?? ?? ?;?? ?? ?
??「―緒に帰つて;? Return to the beginning
友達に噂とかされると、;If my friends gossip about me or something,
??「不愉快よ;? I'm not happy.
失礼するわ。;Excuse me.
早乙女「さようならつ。;"Saotome: ""Good-bye."
??「さよなら;"?? Good-bye."""
<PSURNAME>（プレゼントを;<PSURNAME> (Present.
することはないな。）;I don't have anything to do.)
